Product ID,Level,Name,Status,URL,First Available Month,Latest Available Month,Science Team,Description,Keywords
DP1.00001.001,1,2D wind speed and direction,Available,https://data.neonscience.org/data-products/DP1.00001.001,2013-12,2024-08,Terrestrial Instrument System (TIS),"Two-dimensional wind speed and direction, available as two- and thirty-minute aggregations of 1 Hz observations.  Observations are made by 2-D sonic anemometer sensors located at multiple heights on the tower infrastructure and by 2-D sonic anemometer sensors located on the aquatic meteorological station.",
DP1.00010.001,1,3D wind attitude and motion reference,Available,https://data.neonscience.org/data-products/DP1.00010.001,2016-12,2024-08,Terrestrial Instrument System (TIS),Measurement of 3D anemometer attitude and motion.,
DP1.00007.001,1,"3D wind speed, direction and sonic temperature",Available,https://data.neonscience.org/data-products/DP1.00007.001,2016-12,2024-08,Terrestrial Instrument System (TIS),Three-dimensional windspeed and direction measured by sonic anemometer; air temperature measured by the 3-D sonic anemometer.,
DP1.20046.001,1,Air temperature above water on-buoy,Available,https://data.neonscience.org/data-products/DP1.20046.001,2017-08,2024-08,Aquatic Instrument System (AIS),"Air temperature, available as one-minute instantaneous measurements and thirty-minute averages. Observations are made on the meteorology station on the buoy in lakes and rivers.",
DP2.30011.002,2,Albedo - spectrometer - bidirectional flightline,Coming Soon,https://data.neonscience.org/data-products/DP2.30011.002,,,Airborne Observation Platform (AOP),"Total amount of solar radiation in the 0.4 to 2.5 micron band reflected by the Earth surface into an upward hemisphere divided by the total amount incident from this hemisphere; data are provided by flightline. Starting with data collected in 2022 onward, albedo data are derived from the topographic and BRDF corrected reflectance data product (Spectrometer orthorectified surface bidirectional reflectance - flightline, DP1.30006.002). Albedo derived from directional reflectance (DP1.30006.001) will still be available for earlier collections (pre 2022) under the first data product revision (NEON.DOM.SITE.DP2.30011.001) until they are re-processed with all of the latest reflectance corrections.",
DP3.30011.002,3,Albedo - spectrometer - bidirectional mosaic,Coming Soon,https://data.neonscience.org/data-products/DP3.30011.002,,,Airborne Observation Platform (AOP),"Total amount of solar radiation in the 0.4 to 2.5 micron band reflected by the Earth’s surface into an upward hemisphere divided by the total amount incident from this hemisphere.  Data are derived from the ""Spectrometer orthorectified surface bidirectional reflectance - flightline"" data product (DP1.30006.002) and are mosaicked into 1 km x 1 km geotiff tiles.",
DP2.30011.001,2,Albedo - spectrometer - flightline,Available,https://data.neonscience.org/data-products/DP2.30011.001,2013-06,2021-09,Airborne Observation Platform (AOP),"Total amount of solar radiation in the 0.4 to 2.5 micron band reflected by the Earth surface into an upward hemisphere divided by the total amount incident from this hemisphere; data are provided by flightline. Data are derived from the ""Spectrometer orthorectified surface directional reflectance - flightline"" data product (DP1.30006.001).",
DP3.30011.001,3,Albedo - spectrometer - mosaic,Available,https://data.neonscience.org/data-products/DP3.30011.001,2013-06,2021-09,Airborne Observation Platform (AOP),"Total amount of solar radiation in the 0.4 to 2.5 micron band reflected by the Earth’s surface into an upward hemisphere divided by the total amount incident from this hemisphere.  Data are derived from the ""Spectrometer orthorectified surface directional reflectance - flightline"" data product (DP1.30006.001) and are mosaicked into 1 km x 1 km geotiff tiles.",
DP1.20063.001,1,Aquatic plant bryophyte chemical properties,Available,https://data.neonscience.org/data-products/DP1.20063.001,2014-07,2023-07,Aquatic Observation System (AOS),"Carbon (C) and nitrogen (N) concentrations of aquatic plant and bryophytes from benthic collections in lakes, rivers, and wadeable streams",
DP1.20066.001,1,Aquatic plant bryophyte macroalgae clip harvest,Available,https://data.neonscience.org/data-products/DP1.20066.001,2014-07,2024-08,Aquatic Observation System (AOS),"Dry weight of aquatic plant, bryophyte, and macroalgae from benthic quadrats in lakes, rivers, and wadeable streams",
